##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/15 16:41:46
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ]
5.46935415e+00, 3.17500695e-03, 1.22359999e-01, 7.09391172e+04, 7.80513704e-01, 3.56743988e+02, 1.43801773e+00, 7.09391172e+04, 3.16570343e+02, 5.12995605e+02
5.46935415e+00, -3.17500439e-03, 1.22359999e-01, 1.28330164e+05, 1.38962555e+00, 3.59599365e+02, 1.40108263e+00, 1.28330164e+05, 3.21658264e+02, 5.03824677e+02
5.46888590e+00, 3.17500811e-03, 1.10784300e-01, 7.19431484e+04, 8.01558018e-01, 3.54512939e+02, 1.47018337e+00, 7.19431484e+04, 3.12623383e+02, 5.21197083e+02
5.46888590e+00, -3.17500555e-03, 1.10784300e-01, 1.27902313e+05, 1.38612926e+00, 3.59451965e+02, 1.40314376e+00, 1.27902313e+05, 3.21394592e+02, 5.04361938e+02
5.46846008e+00, 3.17500927e-03, 9.93646011e-02, 7.43727188e+04, 8.52319956e-01, 3.49552612e+02, 1.53946173e+00, 7.43727188e+04, 3.03936554e+02, 5.38111755e+02
5.46846008e+00, -3.17500671e-03, 9.93646011e-02, 1.27719398e+05, 1.38135457e+00, 3.59815125e+02, 1.39811432e+00, 1.27719398e+05, 3.22044403e+02, 5.03060303e+02
5.46821880e+00, 3.17501067e-03, 8.78226012e-02, 7.77506094e+04, 9.02156711e-01, 3.47388611e+02, 1.56906068e+00, 7.77506094e+04, 3.00184387e+02, 5.45017883e+02
5.46821880e+00, -3.17500811e-03, 8.78226012e-02, 1.27836328e+05, 1.37605810e+00, 3.60671997e+02, 1.38620341e+00, 1.27836328e+05, 3.23580078e+02, 4.99961700e+02
5.46799517e+00, 3.17501184e-03, 7.62773007e-02, 7.99218125e+04, 9.33502316e-01, 3.46242706e+02, 1.58440661e+00, 7.99218125e+04, 2.98207397e+02, 5.48510559e+02
5.46799517e+00, -3.17500927e-03, 7.62773007e-02, 1.28395430e+05, 1.37216985e+00, 3.61971466e+02, 1.36809587e+00, 1.28395430e+05, 3.25915924e+02, 4.95210968e+02
5.45805788e+00, 3.17499950e-03, 1.91084906e-01, 1.59414639e+04, 2.27043048e-01, 3.13604004e+02, 2.03803277e+00, 1.59414639e+04, 2.44637421e+02, 6.38894470e+02
5.45805788e+00, -3.17499624e-03, 1.91084906e-01, 1.18978883e+05, 1.31247151e+00, 3.56279633e+02, 1.44710314e+00, 1.18978883e+05, 3.15747467e+02, 5.15539490e+02
5.45801020e+00, 3.17499950e-03, 1.79801196e-01, 2.44309746e+04, 3.59211206e-01, 3.08606659e+02, 2.11003780e+00, 2.44309746e+04, 2.36902588e+02, 6.51103333e+02
5.45801020e+00, -3.17499740e-03, 1.79801196e-01, 1.25174602e+05, 1.35807979e+00, 3.59251038e+02, 1.40608072e+00, 1.25174602e+05, 3.21035553e+02, 5.05133270e+02
5.45794392e+00, 3.17500043e-03, 1.68510497e-01, 2.67673965e+04, 3.94867271e-01, 3.08064423e+02, 2.11778927e+00, 2.67673965e+04, 2.36073898e+02, 6.52382874e+02
